speaker,score_run_1,score_run_2,score_run_3,score_run_4,score_run_5
03,0.6938775510204082,0.6326530612244898,0.6326530612244898,0.7142857142857143,0.6530612244897959
08,0.35714285714285715,0.39285714285714285,0.375,0.35714285714285715,0.375
09,0.6046511627906976,0.5581395348837209,0.5813953488372093,0.5581395348837209,0.6046511627906976
10,0.6842105263157895,0.6052631578947368,0.5789473684210527,0.631578947368421,0.5789473684210527
11,0.5454545454545454,0.4909090909090909,0.4727272727272727,0.5272727272727272,0.5636363636363636
12,0.6,0.6,0.6571428571428571,0.6571428571428571,0.5428571428571428
13,0.5245901639344263,0.5245901639344263,0.5573770491803278,0.5081967213114754,0.47540983606557374
14,0.6231884057971014,0.6811594202898551,0.7101449275362319,0.6811594202898551,0.7101449275362319
15,0.5535714285714286,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5892857142857143
16,0.5633802816901409,0.5492957746478874,0.5915492957746479,0.5492957746478874,0.5915492957746479
